City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Conde,BR,76.46,moderate rain,-7.2597,-34.9075,Pousada Beija Flor
599,Coihaique,CL,84.15,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
600,Chake Chake,TZ,75.58,broken clouds,-5.2459,39.7666,Hotel Archipelago
603,Samarai,PG,81.99,moderate rain,-10.6167,150.6667,Nuli Sapi
605,Sarangani,PH,82.36,scattered clouds,5.4033,125.4636,Ballistic Islet
608,Alofi,NU,85.89,broken clouds,-19.0595,-169.9187,Taloa Heights
609,Carauari,BR,75.45,broken clouds,-4.8828,-66.8958,Hotel Fellip
610,Jacqueville,CI,78.71,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
611,La Palma,US,76.71,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
618,Daru,PG,80.76,overcast clouds,-9.0763,143.2092,Daru Lodge
619,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
622,Toumodi,CI,79.3,clear sky,6.5613,-5.0158,Hotel Akanza
629,Ulladulla,AU,83.88,clear sky,-35.35,150.4667,Sandpiper Motel
636,Sungairaya,ID,77.59,overcast clouds,0.7,108.9,Mess P.Milu
637,Neiafu,TO,83.79,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
643,Port Augusta,AU,79.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
644,Caravelas,BR,76.08,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
655,Goiania,BR,76.69,scattered clouds,-16.6786,-49.2539,San Marino Suite Hotel Goiânia
657,San Carlos De Bariloche,AR,83.95,few clouds,-41.1456,-71.3082,Hotel Patagonia
665,Coxim,BR,77.86,moderate rain,-18.5067,-54.76,Hotel Avenida
670,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
